Timestamp,Age,Gender,Is advertisement necessary to attract the consumers?,Is print advertisement (Newspaper etc)to be necessary?,Is the outdoor/street advertising relevance to Your daily life?,"Is outdoor/street advertisement poorly displayed, that's why not attractive? ","In this competition market, any product can’t survive without advertisement?",Do You buy the goods when you feel its necessary/needed?,Is restrictive advertisement also attract your mind and convince you.,Is advertisement a source of pleasure & entertainment? ,Do You think that television commercials have vast coverage than anything else?,Is advertisement always an influence & dominate You?,Do You like to buy the goods for dominance & increase the standard of living in society?,"Is advertisement create the awareness, so that You prefer to buy the low priced goods?",Is advertisement convince You to buy the same brands? ,"Is the FMCG Co. should give ads, for brand recall in Your mind?",Is your participation in purchasing influenced by friends & family? ,Is advertisement stimulate or encourage You to purchase the products?,Is advertisement always influence Your buying habits?,"Is advertisement motivate you, to shift from one brand to another brand? ",YesCount,NoCount,MayBe,
6/8/2021 15:43:41,,,,,,,,,,,,,,,,,,,,,0,0,0,0
6/8/2021 16:48:36,25-34,Female,Yes,Maybe,No,Yes,Yes,Yes,Yes,No,Maybe,No,Maybe,Yes,No,No,Yes,Maybe,No,No,7,7,4,1
6/8/2021 18:54:26,18-24,Male,Yes,Maybe,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,12,5,1,2
6/8/2021 18:59:34,25-34,Male,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Maybe,Maybe,Yes,10,6,2,2
6/8/2021 19:02:48,18-24,Male,,,,,,,,,,,,,,,,,,,0,0,0,0
6/8/2021 19:02:58,18-24,Male,Yes,No,Yes,Maybe,Yes,Yes,No,No,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,Yes,11,4,3,2
6/8/2021 19:09:36,25-34,Male,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,Maybe,Yes,Maybe,Maybe,No,Maybe,Yes,Yes,Maybe,Maybe,No,8,2,8,1
6/8/2021 19:13:13,18-24,Female,Yes,Maybe,Yes,Maybe,Yes,Maybe,Maybe,Maybe,No,Yes,Maybe,No,Yes,Maybe,Yes,Yes,Yes,Yes,9,2,7,2
6/8/2021 19:13:33,18-24,Male,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,No,Maybe,Yes,Yes,No,Yes,Maybe,No,Yes,11,3,4,2
6/8/2021 19:16:20,18-24,Female,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,No,Yes,Maybe,Maybe,No,Maybe,Maybe,Yes,Yes,Maybe,Maybe,8,2,8,1
6/8/2021 19:16:34,18-24,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,15,3,0,2
6/8/2021 19:58:58,18-24,Male,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,No,Maybe,No,No,Maybe,No,Maybe,Maybe,Yes,No,Maybe,6,5,7,1
6/8/2021 19:59:25,18-24,Male,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No,No,No,Maybe,Yes,Yes,Yes,Maybe,No,10,4,4,2
6/8/2021 20:25:53,18-24,Female,Yes,No,Maybe,Maybe,Yes,Yes,No,Yes,Yes,No,Maybe,Maybe,No,Maybe,Maybe,Maybe,Maybe,Yes,6,4,8,1
6/8/2021 21:53:13,25-34,Male,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Maybe,No,Yes,No,Yes,No,Yes,11,5,2,2
6/8/2021 21:56:08,18-24,Male,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,10,8,0,2
6/8/2021 21:59:16,25-34,Female,Yes,Yes,No,Yes,Maybe,Yes,Yes,Yes,Maybe,Maybe,Yes,Yes,No,Yes,Maybe,Yes,Yes,Yes,12,2,4,2
6/8/2021 22:17:53,25-34,Female,Yes,No,Maybe,Maybe,Yes,Yes,Maybe,Maybe,Yes,No,No,No,Yes,Maybe,No,No,No,Maybe,5,7,6,1
6/8/2021 22:38:40,25-34,Male,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,10,8,0,2
6/8/2021 22:41:33,18-24,Male,Yes,Maybe,No,Maybe,Yes,Yes,Yes,Yes,Yes,No,No,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,11,3,4,2
6/8/2021 22:57:28,18-24,Female,Yes,Yes,Yes,No,Yes,Yes,Maybe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,14,1,3,2
6/8/2021 22:57:57,18-24,Female,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,12,6,0,2
6/8/2021 22:59:57,25-34,Male,Yes,Maybe,Yes,No,Yes,Yes,No,Maybe,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,10,6,2,2
6/8/2021 23:10:15,25-34,Male,,,,,,,,,,,,,,,,,,,0,0,0,0
6/8/2021 23:12:41,25-34,Male,No,No,Maybe,Maybe,Maybe,Yes,No,No,Maybe,Maybe,Maybe,Yes,Maybe,No,Maybe,No,No,No,2,8,8,1
